Video ID,Video Title,Published Date,Published Time,Views Count,Comments Count,Likes Count,Hashtags,Is Private
YeR8u20cxCA,West Indies legend Brian Lara provides a batting masterclass | FOX Cricket,2022-12-04,03:01:31Z,329010,459,4872,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
nlSrLGxkt-w,Gilly’s Cricket Classics – Episode 1: The First Ton,2022-12-05,00:16:41Z,9462,17,284,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Adam Gilchrist', 'Gilly', 'McDonalds']",False
a5fhoLHXMyo,Mic'd Up | Usman Khawaja in the thick of things against the West Indies I Fox Cricket,2022-12-09,02:32:36Z,127441,78,2258,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Usman Khawaja', 'Marnus Labuschagne', 'West Indies', 'Adelaide Oval', 'David Warner']",False
EeOVIUFTXtI,Nathan Lyon mic'd up for Fox Cricket against the West Indies! | Fox Cricket,2022-12-10,04:36:37Z,89424,45,1649,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL']",False
ypwMV7neRrQ,Generational battle: 53 year old Brian Lara and Rashid Khan FACE OFF in the nets! | Fox Cricket,2022-12-10,07:19:43Z,2420771,1506,27050,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL']",False
VxTuoejfirI,How Pat Cummins overcame persistent injures to then captain Australia | Turning Points,2022-12-11,07:00:07Z,8202,21,223,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL']",False
GiyCmtFOFF0,Gilly pays heartfelt tribute Roy and Warnie,2022-12-13,08:35:02Z,234448,371,4743,[],False
5SCaFeXnntQ,"""I'm glad I got the opportunity to play more than one Test match"" | Baggy Green Tales",2022-12-18,00:56:23Z,7103,7,159,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL', 'Baggy Green']",False
XukgvD5cq5A,Chirpy Marnus Labuschagne mic'd up for the first Test against South Africa | Fox Cricket,2022-12-19,03:04:28Z,154886,103,2641,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL']",False
QANuyDAM6xE,Gilly’s Cricket Classics – Episode 2: Bob’s Squash Ball,2022-12-19,06:01:29Z,6367,9,183,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL']",False
w--Qy4uoSpc,Gilly’s Cricket Classics – Episode 3: The Final Warm-Up,2022-12-21,04:30:12Z,11014,13,259,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL']",False
LZhEuHhFe20,AB de Villiers in Virat Kohli's body would be my perfect cricketer | Questions from the Group Chat,2022-12-26,05:00:13Z,154385,154,4950,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL', 'David Warner', 'Virat Kohli', 'Sachin Tendulkar']",False
yQ1szIKuK2k,David Warner is Mic'd up for his 100th Test in a Boxing Day special I Fox Cricket,2022-12-27,01:30:13Z,131215,178,2537,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL', 'David Warner', 'Boxing Day Test', 'MCG', 'South Africa']",False
U0IU671jEfA,Celebrating Shane Warne: The best of Warnie in the commentary box I The Big Break I Fox Cricket,2022-12-28,01:30:07Z,93780,82,1157,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL', 'Shane Warne', 'Michael Vaughan', ""Kerry O'Keeffe"", 'Mark Waugh', 'The Big Break']",False
lqM0k6YQu8I,David Warner's Boxing Day century from the Director's chair | Behind the Broadcast,2022-12-29,03:00:17Z,11344,20,283,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL', 'Behind the Scenes', 'TV Production', 'Broadcast Television', 'Behind the Broadcast', 'How to', ""Director's Cut"", 'OB', 'Outside Broadcast']",False
d5VtHhMpCE0,Gilly’s Cricket Classics – Episode 4: On top of the world,2022-12-30,01:20:35Z,8902,14,216,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL']",False
7iNkXRPnf9Q,The evolution of the cricket bat - Mike Hussey & Mark Waugh test bats from every era I Fox Cricket,2023-01-05,03:30:53Z,902388,481,8955,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL', 'Michael Hussey', 'Mark Waugh', 'Allan Border', 'Cricket Bat']",False
sNUIxybTGyk,"Tendulkar, Warne, Akram and Ponting: Brian Lara picks the best players of his era | FOX Cricket",2023-01-06,07:00:15Z,535734,621,6770,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL']",False
fNWFPvDAd54,Nathan Lyon is Mic'd up as Australia chase a clean sweep against South Africa | Fox Cricket,2023-01-07,23:36:11Z,47584,29,740,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL', 'Nathan Lyon', 'Spin Bowling']",False
MWIjKgojjT0,Gilly’s Cricket Classics – Episode 5: 57 Rocks,2023-01-09,04:47:10Z,13936,13,280,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL']",False
oH9mnAfXp_k,Ind v Aus 1st Test Review – Spinners WRECK Aussies & did Australia overreact to pitch? I Fox Cricket,2023-02-12,02:32:05Z,423802,645,5123,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL', 'India', 'Border Gavaskar Trophy', 'Ravindra Jadeja', 'Rohit Sharma', 'Ravichandran Ashwin', 'Alan Border', 'Brad Haddin', 'Brendon Julian', '1st Test', 'Virat Kohli', 'Steve Smith', 'Pat Cummins', 'Nathan Lyon', 'Axar Patel']",False
H1qaecQZGl4,India v Australia 2nd Test Review – India go 2-0 up after Australia IMPLODE in Delhi I Fox Cricket,2023-02-20,06:00:11Z,615909,823,7722,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'T20', 'T20i', 'IPL', 'India', 'Steve Smith', 'Pat Cummins', 'Rohit Sharma', 'Virat Kohli', 'Ravindra Jadeja', 'Ravichandran Ashwin', 'Nathan Lyon', 'Marnus Labuschagne']",False
