Serial,Event,Code Province,Code District,Code Division,Date (YMD),Duration (d),Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle,Damages in roads Mts
FL2010,FLOOD,lka001,lka001002,lka001002027,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,100,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002027,2/10/2010,0,0.0,0.0,0.0,0.0,0,0,209,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002009,23/10/2010,0,0.0,0.0,0.0,1.0,0,0,99,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002012,23/10/2010,0,0.0,0.0,0.0,0.0,2,0,27,0,0,0,0,0,0,0.0,0,0
FL2011,FLOOD,lka005,lka005003,,1/1/2011,32,0.0,0.0,0.0,0.0,0,0,31910,0,27046,0,0,0,0,0.0,0,0
FL2011,FLOOD,lka002,lka002002,,1/1/2011,32,0.0,4.0,0.0,0.0,0,0,3570,0,0,0,0,0,0,0.0,0,0
FL2011,FLOOD,lka007,lka007001,,1/1/2011,0,0.0,0.0,0.0,121.0,879,0,11116,0,0,0,0,0,0,0.0,0,0
FL2011,FLOOD,lka007,lka007002,,1/1/2011,0,0.0,0.0,0.0,723.0,3186,0,10842,0,0,0,0,0,0,0.0,0,0
FL2011,FLOOD,lka008,lka008001,,1/1/2011,32,1.0,5.0,0.0,27.0,326,0,1142,0,0,0,0,0,0,0.0,0,0
135423,FLOOD,lka004,lka004003,,13/01/2011,1,1.0,0.0,0.0,0.0,0,0,39069,0,0,0,0,0,0,0.0,0,0
135424,FLOOD,lka002,lka002003,,21/01/2011,1,0.0,6.0,0.0,3.0,108,0,447,0,0,0,22000000,0,0,0.0,0,0
135425,FLOOD,lka002,lka002001,,15/01/2011,1,8.0,19.0,0.0,93.0,315,0,2643,0,0,0,0,0,0,0.0,0,0
135426,FLOOD,lka005,lka005002,,21/09/2011,1,11.0,15.0,0.0,1343.0,4971,0,471556,0,0,0,1262800000,0,0,0.0,0,0
135427,FLOOD,lka006,lka006002,,15/01/2011,0,0.0,0.0,0.0,0.0,0,0,324,0,0,0,0,0,0,0.0,0,0
135428,FLOOD,lka009,lka009002,,13/01/2011,0,0.0,0.0,0.0,0.0,7,0,18,0,0,0,0,0,0,0.0,0,0
135429,FLOOD,lka004,lka004002,,15/01/2011,0,0.0,0.0,0.0,1243.0,4971,0,1284,0,0,0,0,0,0,0.0,0,0
135430,FLOOD,lka008,lka008002,,13/01/2011,0,1.0,0.0,0.0,4.0,100,0,118,0,0,0,0,0,0,0.0,0,0
135431,FLOOD,lka005,lka005001,,13/01/2011,0,22.0,0.0,0.0,3118.0,6441,0,541688,0,0,0,0,0,0,0.0,0,0
135432,FLOOD,lka004,lka004004,,13/01/2011,0,0.0,0.0,0.0,0.0,0,0,1500,0,0,0,0,0,0,0.0,0,0
135433,FLOOD,lka009,lka009001,,15/01/2011,0,0.0,2.0,0.0,0.0,0,0,716,0,0,0,0,0,0,0.0,0,0
135434,FLOOD,lka005,lka005003,,11/2/2011,0,0.0,0.0,0.0,0.0,0,0,333263,0,0,0,0,0,0,0.0,0,0
135435,FLOOD,lka002,lka002002,,11/2/2011,0,0.0,7.0,0.0,128.0,662,0,13141,0,0,0,0,0,0,0.0,0,0
135436,FLOOD,lka007,lka007001,,6/2/2011,0,0.0,0.0,0.0,451.0,2053,0,200000,0,0,0,0,0,0,0.0,0,0
135437,FLOOD,lka007,lka007002,,6/2/2011,0,2.0,2.0,0.0,22.0,63,0,21790,0,0,0,0,0,0,0.0,0,0
135438,FLOOD,lka008,lka008001,,9/2/2011,0,2.0,0.0,0.0,153.0,1162,0,9660,0,0,0,0,0,0,0.0,0,0
135439,FLOOD,lka004,lka004003,,8/2/2011,0,1.0,0.0,0.0,920.0,4471,0,25453,0,0,0,0,0,0,0.0,0,0
135440,FLOOD,lka002,lka002003,,11/2/2011,0,0.0,0.0,0.0,57.0,50,0,2480,0,0,0,0,0,0,0.0,0,0
135441,FLOOD,lka002,lka002001,,11/2/2011,0,1.0,1.0,0.0,96.0,253,0,1253,0,0,0,0,0,0,0.0,0,0
135442,FLOOD,lka005,lka005002,,8/2/2011,0,4.0,3.0,0.0,445.0,2888,0,312890,0,0,0,0,0,0,0.0,0,0
135443,FLOOD,lka006,lka006002,,26/09/2011,0,0.0,0.0,0.0,8.0,18,0,767,0,0,0,0,0,0,0.0,0,0
135444,FLOOD,lka009,lka009002,,6/2/2011,0,0.0,0.0,0.0,2.0,0,0,6,0,0,0,0,0,0,0.0,0,0
135445,FLOOD,lka004,lka004002,,7/2/2011,0,0.0,0.0,0.0,0.0,0,0,39948,0,0,0,0,0,0,0.0,0,0
135446,FLOOD,lka008,lka008002,,7/2/2011,0,0.0,0.0,0.0,3.0,3,0,198,0,0,0,0,0,0,0.0,0,0
135447,FLOOD,lka005,lka005001,,6/2/2011,0,7.0,0.0,0.0,0.0,0,0,240366,0,0,0,0,0,0,0.0,0,0
135448,FLOOD,lka006,lka006001,,6/2/2011,0,0.0,0.0,0.0,4.0,10,0,399,0,0,0,0,0,0,0.0,0,0
135449,FLOOD,lka004,lka004004,,6/2/2011,0,0.0,0.0,0.0,0.0,0,0,59977,0,0,0,0,0,0,0.0,0,0
135450,FLOOD,lka004,lka004005,,7/2/2011,0,0.0,0.0,0.0,0.0,2709,0,14895,0,0,0,0,0,0,0.0,0,0
135451,FLOOD,lka009,lka009001,,8/2/2011,0,0.0,0.0,0.0,0.0,0,0,24,0,0,0,0,0,0,0.0,0,0
135454,FLOOD,lka003,lka003003,lka003003012,2/1/2011,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0
135457,FLOOD,lka002,lka002001,lka002001030,9/1/2011,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0
135460,FLOOD,lka002,lka002002,lka002002006,9/11/2011,0,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.0,0,0
135462,FLOOD,lka008,lka008002,lka008002012,11/1/2011,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0
135463,FLOOD,lka008,lka008002,lka008002012,11/1/2011,0,0.0,0.0,0.0,0.0,3,0,12,0,0,0,0,0,0,0.0,0,0
135464,FLOOD,lka009,lka009001,lka009001048,13/01/2011,0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0
135469,FLOOD,lka007,lka007001,lka007001063,30/03/2011,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0
135477,FLOOD,lka009,lka009002,lka009002027,1/1/2011,0,0.0,0.0,0.0,5.0,60,0,0,0,0,0,0,0,0,0.0,0,0
135481,FLOOD,lka009,lka009002,lka009002015,27/05/2011,0,1.0,2.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0
135599,FLOOD,lka009,lka009001,lka009001024,28/04/2011,9,0.0,0.0,0.0,0.0,66,0,225,0,0,0,0,0,0,0.0,0,0
135600,FLOOD,lka009,lka009001,lka009001030,1/5/2011,9,0.0,0.0,0.0,10.0,44,0,1030,0,0,0,0,0,0,0.0,0,0
135602,FLOOD,lka009,lka009001,lka009001033,1/5/2011,9,1.0,0.0,0.0,6.0,41,0,962,0,0,0,0,0,0,0.0,0,0
135603,FLOOD,lka009,lka009001,lka009001036,1/5/2011,9,0.0,3.0,0.0,10.0,61,0,2658,0,0,0,0,0,0,0.0,0,0
135604,FLOOD,lka009,lka009001,lka009001003,1/5/2011,9,0.0,0.0,0.0,0.0,8,0,24,0,0,0,0,0,0,0.0,0,0
135605,FLOOD,lka009,lka009001,lka009001039,1/5/2011,9,0.0,0.0,0.0,1.0,17,0,150,0,0,0,0,0,0,0.0,0,0
135606,FLOOD,lka009,lka009001,lka009001012,1/5/2011,9,2.0,1.0,0.0,5.0,37,0,1268,0,0,0,0,0,0,0.0,0,0
135607,FLOOD,lka009,lka009001,lka009001009,1/5/2011,9,1.0,0.0,0.0,0.0,2,0,2103,0,0,0,0,0,0,0.0,0,0
135608,FLOOD,lka009,lka009001,lka009001006,1/5/2011,9,0.0,0.0,0.0,0.0,0,0,119,0,0,0,0,0,0,0.0,0,0
135610,FLOOD,lka009,lka009001,lka009001027,1/5/2011,9,0.0,0.0,0.0,10.0,50,0,15610,0,0,0,0,0,0,0.0,0,0
135613,FLOOD,lka009,lka009002,lka009002018,1/5/2011,0,0.0,1.0,0.0,12.0,78,0,447,0,0,0,0,0,0,0.0,0,0
135614,FLOOD,lka009,lka009002,lka009002015,27/05/2011,11,0.0,3.0,0.0,15.0,91,0,880,0,0,0,0,0,0,0.0,0,0
135616,FLOOD,lka009,lka009002,lka009002030,27/05/2011,9,0.0,0.0,0.0,1.0,31,0,2084,0,0,0,0,0,0,0.0,0,0
135618,FLOOD,lka009,lka009002,lka009002024,27/05/2011,8,0.0,5.0,0.0,10.0,50,0,400,0,0,0,0,0,0,0.0,0,0
135619,FLOOD,lka009,lka009002,lka009002027,27/05/2011,9,0.0,0.0,0.0,60.0,5,0,0,0,0,0,0,0,0,0.0,0,0
135620,FLOOD,lka009,lka009002,lka009002033,27/05/2011,9,0.0,1.0,0.0,4.0,7,0,306,0,0,0,0,0,0,0.0,0,0
135621,FLOOD,lka009,lka009002,lka009002021,27/05/2011,9,0.0,0.0,0.0,3.0,40,0,1300,0,0,0,0,0,0,0.0,0,0
135622,FLOOD,lka003,lka003001,lka003001015,27/05/2011,0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0.0,0,0
135624,FLOOD,lka001,lka001003,lka001003024,27/05/2011,9,0.0,0.0,0.0,1.0,11,0,870,0,0,0,0,0,0,0.0,0,0
135625,FLOOD,lka001,lka001003,lka001003030,27/05/2011,9,0.0,0.0,0.0,1.0,4,0,0,0,0,0,0,0,0,0.0,0,0
135626,FLOOD,lka001,lka001003,lka001003039,27/05/2011,9,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0
135627,FLOOD,lka001,lka001003,lka001003009,27/05/2011,9,0.0,0.0,0.0,0.0,0,0,138,0,0,0,0,0,0,0.0,0,0
135628,FLOOD,lka001,lka001001,lka001001015,27/05/2011,9,0.0,0.0,0.0,0.0,0,0,2245,0,0,0,0,0,0,0.0,0,0
135629,FLOOD,lka001,lka001001,lka001001009,27/05/2011,9,0.0,0.0,0.0,0.0,0,0,2139,0,0,0,0,0,0,0.0,0,0
135630,FLOOD,lka001,lka001001,lka001001006,27/05/2011,9,0.0,0.0,0.0,0.0,0,0,10970,0,0,0,0,0,0,0.0,0,0
